Project,Duration (in minutes),Start date,End date
Work,37.38333333,2023-01-09 17:01,2023-01-09 17:38
Work,27.5,2023-01-09 16:17,2023-01-09 16:45
Work,33.66666667,2023-01-09 15:19,2023-01-09 15:53
Work,36.3,2023-01-09 12:55,2023-01-09 13:31
Learning,25.11666667,2023-01-09 11:37,2023-01-09 12:03
Learning,25.41666667,2023-01-07 21:36,2023-01-07 22:01
Work,45.21666667,2023-01-06 16:41,2023-01-06 17:26
Work,27.46666667,2023-01-06 15:57,2023-01-06 16:24
Work,28.91666667,2023-01-06 11:32,2023-01-06 12:01
Work,25.76666667,2023-01-06 11:02,2023-01-06 11:28
Work,25.78333333,2023-01-06 10:22,2023-01-06 10:47
Work,21.15,2023-01-06 08:54,2023-01-06 09:15
Work,57.88333333,2023-01-05 19:27,2023-01-05 20:25
Work,25.53333333,2023-01-05 18:09,2023-01-05 18:34
Work,27.61666667,2023-01-05 17:29,2023-01-05 17:56
Work,23.5,2023-01-05 15:04,2023-01-05 15:28
Work,8,2023-01-05 14:22,2023-01-05 14:30
Work,37.81666667,2023-01-05 12:14,2023-01-05 12:52
Work,45.23333333,2023-01-05 10:19,2023-01-05 11:04
Work,41.51666667,2023-01-05 08:39,2023-01-05 09:21
Work,45.51666667,2023-01-04 18:13,2023-01-04 18:58
Work,35.93333333,2023-01-04 17:12,2023-01-04 17:48
Work,21.1,2023-01-04 16:12,2023-01-04 16:33
Work,31.58333333,2023-01-04 13:09,2023-01-04 13:41
Work,12,2023-01-04 11:18,2023-01-04 11:30
Work,9.65,2023-01-04 09:11,2023-01-04 09:21
Work,25.76666667,2023-01-04 08:35,2023-01-04 09:00
Work,32.76666667,2023-01-03 22:12,2023-01-03 22:45
Work,17.85,2023-01-03 21:10,2023-01-03 21:28
Work,26.2,2023-01-03 19:31,2023-01-03 19:57
Work,25.93333333,2023-01-03 17:51,2023-01-03 18:17
Work,26.88333333,2023-01-03 16:44,2023-01-03 17:11
Work,34.86666667,2023-01-03 13:51,2023-01-03 14:26
Work,32.88333333,2023-01-03 11:07,2023-01-03 11:40
Work,53.76666667,2022-12-28 19:36,2022-12-28 20:30
Work,14.08333333,2022-12-28 16:56,2022-12-28 17:10
Work,25.61666667,2022-12-28 16:06,2022-12-28 16:32
Work,16.9,2022-12-28 14:29,2022-12-28 14:46
Work,27.86666667,2022-12-28 12:40,2022-12-28 13:08
Work,25.5,2022-12-28 11:25,2022-12-28 11:51
Work,6.75,2022-12-28 10:38,2022-12-28 10:45
Work,8.5,2022-12-28 09:13,2022-12-28 09:21
Work,27.63333333,2022-12-28 08:35,2022-12-28 09:02
Work,29.95,2022-12-27 15:32,2022-12-27 16:02
Work,34.13333333,2022-12-27 11:02,2022-12-27 11:37
Work,28.2,2022-12-27 08:53,2022-12-27 09:22
Work,25.2,2022-12-27 08:13,2022-12-27 08:38
Work,27.45,2022-12-26 22:48,2022-12-26 23:16
Work,29.06666667,2022-12-26 21:47,2022-12-26 22:16
Work,25.61666667,2022-12-26 19:53,2022-12-26 20:19
Work,26.01666667,2022-12-26 18:39,2022-12-26 19:05
Work,30.85,2022-12-26 17:29,2022-12-26 18:00
Work,28.68333333,2022-12-26 16:22,2022-12-26 16:50
Work,28.78333333,2022-12-26 15:30,2022-12-26 15:59
Work,31.23333333,2022-12-26 13:56,2022-12-26 14:27
Work,26.55,2022-12-26 12:24,2022-12-26 12:51
Work,25.75,2022-12-26 11:34,2022-12-26 12:00
Work,25.46666667,2022-12-26 10:52,2022-12-26 11:17
Work,13,2022-12-26 09:07,2022-12-26 09:20
Work,33.9,2022-12-25 18:03,2022-12-25 18:37
Work,33.5,2022-12-25 16:52,2022-12-25 17:26
Work,27.66666667,2022-12-25 15:45,2022-12-25 16:12
Work,25.9,2022-12-25 15:06,2022-12-25 15:31
Work,25.28333333,2022-12-25 13:44,2022-12-25 14:10
Work,17.08333333,2022-12-23 11:28,2022-12-23 11:45
Work,36.98333333,2022-12-22 13:52,2022-12-22 14:29
Work,7.25,2022-12-22 11:52,2022-12-22 11:59
Work,46.58333333,2022-12-21 17:33,2022-12-21 18:20
Work,23.11666667,2022-12-21 15:53,2022-12-21 16:16
Work,27.46666667,2022-12-21 15:10,2022-12-21 15:37
Work,32.05,2022-12-21 11:05,2022-12-21 11:37
Work,28.96666667,2022-12-21 10:29,2022-12-21 10:58
Work,27.6,2022-12-21 09:55,2022-12-21 10:23
Work,52.8,2022-12-20 21:31,2022-12-20 22:24
Work,24.41666667,2022-12-20 20:39,2022-12-20 21:03
Work,25.81666667,2022-12-20 17:57,2022-12-20 18:23
Work,25.45,2022-12-20 16:35,2022-12-20 17:00
Work,21.23333333,2022-12-20 15:57,2022-12-20 16:19
Work,43.8,2022-12-20 14:17,2022-12-20 15:01
Work,16,2022-12-20 12:45,2022-12-20 13:01
Work,16.66666667,2022-12-20 09:03,2022-12-20 09:19
Work,31.2,2022-12-19 19:09,2022-12-19 19:40
Work,43.45,2022-12-19 15:17,2022-12-19 16:00
Work,25.06666667,2022-12-19 14:39,2022-12-19 15:04
Work,30.85,2022-12-19 13:56,2022-12-19 14:27
Work,25.78333333,2022-12-19 11:56,2022-12-19 12:22
Work,25.35,2022-12-19 11:25,2022-12-19 11:51
Work,27.16666667,2022-12-19 10:04,2022-12-19 10:31
Work,46.5,2022-12-18 21:02,2022-12-18 21:49
Work,33,2022-12-18 19:36,2022-12-18 20:09
Work,33.55,2022-12-18 17:01,2022-12-18 17:34
Work,35.06666667,2022-12-18 17:01,2022-12-18 17:36
Work,25,2022-12-16 18:54,2022-12-16 19:19
Work,46.4,2022-12-16 17:58,2022-12-16 18:44
Work,42.85,2022-12-16 16:58,2022-12-16 17:41
Work,40.26666667,2022-12-16 11:20,2022-12-16 12:00
Work,40.15,2022-12-16 10:19,2022-12-16 10:59
Work,42.45,2022-12-15 18:55,2022-12-15 19:38
Work,38.46666667,2022-12-15 17:47,2022-12-15 18:25
Work,33.16666667,2022-12-15 14:00,2022-12-15 14:33
Work,36.61666667,2022-12-15 13:15,2022-12-15 13:52
Work,34.06666667,2022-12-15 11:54,2022-12-15 12:28
Work,28.38333333,2022-12-15 11:15,2022-12-15 11:43
Work,26.91666667,2022-12-15 10:37,2022-12-15 11:04
Work,20.8,2022-12-14 19:07,2022-12-14 19:28
Work,33.78333333,2022-12-14 17:53,2022-12-14 18:26
Work,13.33333333,2022-12-14 16:00,2022-12-14 16:13
Work,45.26666667,2022-12-14 11:14,2022-12-14 12:00
Work,6.483333333,2022-12-14 10:38,2022-12-14 10:45
Work,35.55,2022-12-13 18:32,2022-12-13 19:08
Work,43.56666667,2022-12-13 17:23,2022-12-13 18:07
Work,27.18333333,2022-12-13 15:45,2022-12-13 16:12
Work,28.78333333,2022-12-13 12:40,2022-12-13 13:08
Work,34.68333333,2022-12-13 11:27,2022-12-13 12:02
Work,28.05,2022-12-13 10:22,2022-12-13 10:50
Work,30.06666667,2022-12-12 16:24,2022-12-12 16:54
Work,35.33333333,2022-12-12 15:25,2022-12-12 16:00
Work,13.35,2022-12-12 10:48,2022-12-12 11:01
Work,20.28333333,2022-12-12 10:07,2022-12-12 10:28
Work,29.55,2022-12-12 01:17,2022-12-12 01:47
Work,55.23333333,2022-12-11 23:52,2022-12-12 00:47
Work,25,2022-12-11 21:00,2022-12-11 21:25
Work,27.2,2022-12-11 19:59,2022-12-11 20:26
Work,31.08333333,2022-12-11 19:17,2022-12-11 19:48
Work,29.33333333,2022-12-11 17:54,2022-12-11 18:24
Work,53.56666667,2022-12-10 23:14,2022-12-11 00:08
Work,18.06666667,2022-12-10 19:07,2022-12-10 19:25
Work,27.51666667,2022-12-10 18:16,2022-12-10 18:44
Work,26.56666667,2022-12-10 17:33,2022-12-10 18:00
Work,34.76666667,2022-12-09 15:39,2022-12-09 16:14
Work,54.25,2022-12-09 12:31,2022-12-09 13:25
Work,33.63333333,2022-12-09 10:27,2022-12-09 11:00
Work,37.38333333,2022-12-09 00:57,2022-12-09 01:52
Work,32.06666667,2022-12-08 23:41,2022-12-09 00:14
Work,18.58333333,2022-12-08 22:35,2022-12-08 22:54
Work,27.11666667,2022-12-08 21:35,2022-12-08 22:02
Work,27.13333333,2022-12-08 19:48,2022-12-08 20:15
Work,25.41666667,2022-12-07 18:49,2022-12-07 19:15
Work,16.93333333,2022-12-07 17:47,2022-12-07 18:03
Work,13.86666667,2022-12-07 16:16,2022-12-07 16:30
Work,22.56666667,2022-12-07 15:25,2022-12-07 15:47
Work,20.53333333,2022-12-07 11:37,2022-12-07 11:57
Work,25.88333333,2022-12-07 10:06,2022-12-07 10:32
Work,25.25,2022-12-06 17:24,2022-12-06 17:49
Work,27.16666667,2022-12-06 16:23,2022-12-06 16:50
Work,25.71666667,2022-12-06 15:37,2022-12-06 16:03
Work,25.7,2022-12-06 14:41,2022-12-06 15:06
Work,25.23333333,2022-12-06 14:05,2022-12-06 14:31
Work,37.25,2022-12-06 12:26,2022-12-06 13:04
Work,27.9,2022-12-05 20:28,2022-12-05 20:56
Work,25.2,2022-12-05 18:00,2022-12-05 18:40
Work,25.91666667,2022-12-05 16:50,2022-12-05 17:16
Work,32.26666667,2022-12-05 15:05,2022-12-05 15:38
Work,25.36666667,2022-12-05 14:11,2022-12-05 14:37
Work,34.26666667,2022-12-05 11:13,2022-12-05 11:47
Work,16.5,2022-12-05 10:13,2022-12-05 10:30
Work,21.98333333,2022-12-01 14:58,2022-12-01 15:20
Work,22.66666667,2022-12-01 13:21,2022-12-01 13:43
Work,19.61666667,2022-12-01 11:59,2022-12-01 12:19
Work,26.2,2022-12-01 10:36,2022-12-01 11:02
Work,28.51666667,2022-11-30 16:48,2022-11-30 17:17
Work,26.65,2022-11-30 15:59,2022-11-30 16:25
Work,25.3,2022-11-30 14:56,2022-11-30 15:21
Work,25.16666667,2022-11-30 14:19,2022-11-30 14:44
Work,24.91666667,2022-11-30 11:35,2022-11-30 12:00
Work,12.81666667,2022-11-30 10:32,2022-11-30 10:45
Work,25.43333333,2022-11-30 09:58,2022-11-30 10:24
Work,27.9,2022-11-30 08:54,2022-11-30 09:21
Work,23.8,2022-11-29 21:37,2022-11-29 22:01
Work,32.6,2022-11-29 20:46,2022-11-29 21:18
Work,25.35,2022-11-29 18:56,2022-11-29 19:21
Work,27.81666667,2022-11-29 17:55,2022-11-29 18:23
Work,25.65,2022-11-29 16:36,2022-11-29 17:02
Work,25.23333333,2022-11-29 12:30,2022-11-29 12:55
Work,25,2022-11-29 11:00,2022-11-29 11:25
Work,14.41666667,2022-11-29 09:46,2022-11-29 10:00
Work,18.33333333,2022-11-29 09:02,2022-11-29 09:20
Work,32.71666667,2022-11-28 16:20,2022-11-28 16:53
Work,31.65,2022-11-28 15:03,2022-11-28 15:35
Work,26.11666667,2022-11-28 14:05,2022-11-28 14:31
Work,32.83333333,2022-11-28 12:13,2022-11-28 12:46
Work,25.71666667,2022-11-28 10:48,2022-11-28 11:13
Work,13.61666667,2022-11-28 10:17,2022-11-28 10:31
Work,39.43333333,2022-11-27 18:06,2022-11-27 18:45
Work,25.3,2022-11-27 17:16,2022-11-27 17:41
Work,28.9,2022-11-25 20:28,2022-11-25 20:57
Work,24.96666667,2022-11-25 19:32,2022-11-25 19:57
Work,27.03333333,2022-11-25 18:57,2022-11-25 19:24
Work,26.48333333,2022-11-25 17:14,2022-11-25 17:41
Work,25.46666667,2022-11-25 15:55,2022-11-25 16:21
Work,21.85,2022-11-25 15:02,2022-11-25 15:23
Work,15.31666667,2022-11-25 14:14,2022-11-25 14:29
Work,15.36666667,2022-11-25 11:13,2022-11-25 11:28
Work,41.13333333,2022-11-25 09:59,2022-11-25 10:40
Work,23.91666667,2022-11-25 08:56,2022-11-25 09:20
Work,25.93333333,2022-11-24 20:13,2022-11-24 20:39
Work,32.5,2022-11-24 19:16,2022-11-24 19:49
Work,30.78333333,2022-11-24 18:25,2022-11-24 18:56
Work,25.8,2022-11-24 17:35,2022-11-24 18:01
Work,28.43333333,2022-11-24 13:56,2022-11-24 14:24
Work,26.53333333,2022-11-24 13:12,2022-11-24 13:39
Work,6.566666667,2022-11-24 10:14,2022-11-24 10:21
Work,25.93333333,2022-11-23 14:27,2022-11-23 14:53
Work,25.5,2022-11-23 13:43,2022-11-23 14:08
